### Coverage: PHP files (all, excluding specs)
| File | Tags (heuristic: responsibilities/inputs/sinks/hooks/enqueues) | Linked canonical finding IDs (heuristic mapping) |
|---|---|---|
| `kunaal-theme\404.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\archive-essay.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\archive-jotting.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\accordion\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\annotation\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\argument-map\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\aside\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\assumptions-register\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\causal-loop\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\chart\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\citation\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\confidence-meter\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\context-panel\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\data-map\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\debate\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\debate-side\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\decision-entry\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\decision-log\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\dumbbell-chart\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\flowchart\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\flowchart-step\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\flow-diagram\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\footnote\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\footnotes-section\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\framework-matrix\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\glossary\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\glossary-term\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\heatmap\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\insight\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\know-dont-know\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\lede-package\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\magazine-figure\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\network-graph\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\parallax-section\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\pub-table\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\pullquote\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\related-link\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\related-reading\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\reveal-wrapper\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\rubric\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\rubric-row\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\scenario-compare\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\scrolly-step\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\scrollytelling\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\section-header\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\sidenote\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\slopegraph\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\small-multiples\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\source-excerpt\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\statistical-distribution\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\takeaway-item\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\takeaways\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\timeline\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\blocks\timeline-item\render.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\footer.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\front-page.php` | db:query, sec:escaping | CAN-PERF-BE-QUERY-001, CAN-SEC-ESC-001 |
| `kunaal-theme\functions.php` | assets:enqueue, assets:inline, assets:localize, db:query, endpoint:ajax, hooks:add_action, hooks:add_filter, input:superglobal, output:inline_script, perf:cache, sec:caps, sec:escaping, sec:nonce, sec:sanitize | CAN-ASSET-001, CAN-ASSET-002, CAN-ASSET-003, CAN-PERF-BE-CACHE-001, CAN-PERF-BE-QUERY-001, CAN-PERF-FE-001, CAN-PERF-FE-002, CAN-SEC-AJAX-001, CAN-SEC-CAPS-001, CAN-SEC-ESC-001, CAN-SEC-INPUT-001, CAN-SEC-NONCE-001, CAN-SEC-SAN-001, CAN-SEC-TPL-001, CAN-WP-001 |
| `kunaal-theme\header.php` | output:inline_script, sec:escaping | CAN-SEC-ESC-001, CAN-SEC-TPL-001 |
| `kunaal-theme\inc\about-customizer.php` | hooks:add_action | CAN-WP-001 |
| `kunaal-theme\inc\blocks.php` | assets:enqueue, hooks:add_action, hooks:add_filter | CAN-ASSET-001, CAN-PERF-FE-001, CAN-WP-001 |
| `kunaal-theme\inc\interest-icons.php` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\index.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\page.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\page-about.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\page-contact.php` | output:inline_script, sec:escaping | CAN-SEC-ESC-001, CAN-SEC-TPL-001 |
| `kunaal-theme\pdf-generator.php` | hooks:add_action, input:superglobal, output:inline_script, sec:escaping, sec:sanitize | CAN-SEC-ESC-001, CAN-SEC-INPUT-001, CAN-SEC-SAN-001, CAN-SEC-TPL-001, CAN-WP-001 |
| `kunaal-theme\pdf-template.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\single.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\single-essay.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\single-jotting.php` | sec:escaping | CAN-SEC-ESC-001 |
| `kunaal-theme\taxonomy-topic.php` | sec:escaping | CAN-SEC-ESC-001 |

### Coverage: JS files (all, excluding specs)
| File | Tags (heuristic: responsibilities/inputs/sinks/hooks/enqueues) | Linked canonical finding IDs (heuristic mapping) |
|---|---|---|
| `kunaal-theme\assets\js\about-page.js` | js:dom_sink, js:fetch, js:intersection_observer, js:resize_listener, js:window_global | CAN-JS-ARCH-001, CAN-PERF-FE-LISTENER-001, CAN-PERF-FE-NET-001, CAN-PERF-FE-OBS-001, CAN-SEC-JS-DOM-001, CAN-SEC-JS-NET-001 |
